colour_name,hex_value,api_featured_image,brand,category,created_at,currency,description,id,image_link,name,price,price_sign,product_api_url,product_link,product_type,rating,tag_list,updated_at,website_link,distances
Bronzed,#D6826B,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/000/922/original/open-uri20171224-4-1fun686?1514082642,nyx,,2017-12-24 02:28:44.070,USD,,922,https://www.nyxcosmetics.com/dw/image/v2/AANG_PRD/on/demandware.static/-/Sites-cpd-nyxusa-master-catalog/default/dw587b93a7/ProductImages/Face/High_Definition_Pro_Blush_Refills/highdefinitionproblushrefills_main.jpg?sw=390&sh=390&sm=fit,High Definition Blush Pro Refills,6.0,$,http://makeup-api.herokuapp.com/api/v1/products/922.json,https://www.nyxcosmetics.com/high-definition-blush-pro-refills/NYX_254.html?cgid=blush,blush,,[],2017-12-24 02:30:42.574,https://www.nyxcosmetics.com,94.00531899844816
Bronzed,#D6826B,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/000/916/original/open-uri20171224-4-12rfxs8?1514082623,nyx,,2017-12-24 02:28:30.659,USD,A high definition lightweight blush that blends evenly. This vibrant and silky blush delivers a beautiful flush of color and is paraben free.,916,https://www.nyxcosmetics.com/dw/image/v2/AANG_PRD/on/demandware.static/-/Sites-cpd-nyxusa-master-catalog/default/dw565af449/ProductImages/Face/High_Definition_Blush/highdefinitionblush_main.jpg?sw=390&sh=390&sm=fit,High Definition Blush,6.5,$,http://makeup-api.herokuapp.com/api/v1/products/916.json,https://www.nyxcosmetics.com/high-definition-blush/NYX_178.html?cgid=blush,blush,,[],2017-12-24 02:30:23.527,https://www.nyxcosmetics.com,94.00531899844816
color 1,#DE7E73,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/000/454/original/data?1514062281,e.l.f.,powder,2016-10-01 18:35:11.086,,"This beautiful blush palette holds 4 gorgeous shades to mix and match 
throughout the year for a custom blended color. Great for contouring, 
shading, sculpting, and highlighting, these silky smooth blushes create a
 beautiful pigmented glow. With a mixture of complimentary matte and 
shimmer finishes, you can achieve a professional look every time.Ingredients: Mica, Talc, Ethylhexyl Palmitate, Silica, Nylon-12, PTFE, Zince Stearate, Dimethicone, Tocopheryl Acetate (Ve).
MAY CONTAIN: Titanium Dioxide (CI 77891), Iron OXides (CI 77491, 
CI 77492, CI 77499), Red 7 Lake (CI 15850), Ultramarines (CI 77007), Red
 6 Lake (CI 15850), Red 28 Lake (CI 45410). ",454,"https://d3t32hsnjxo7q6.cloudfront.net/i/73da123512d4ca1f2aebf5149e065d86_ra,w158,h184_pa,w158,h184.jpg",e.l.f. Studio Blush Palette Dark,9.99,,http://makeup-api.herokuapp.com/api/v1/products/454.json,https://well.ca/products/elf-studio-blush-palette-dark_99359.html,blush,,[Vegan],2017-12-23 20:51:21.171,https://well.ca,94.00531899844816
Glow,#CC8774,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/000/922/original/open-uri20171224-4-1fun686?1514082642,nyx,,2017-12-24 02:28:44.070,USD,,922,https://www.nyxcosmetics.com/dw/image/v2/AANG_PRD/on/demandware.static/-/Sites-cpd-nyxusa-master-catalog/default/dw587b93a7/ProductImages/Face/High_Definition_Pro_Blush_Refills/highdefinitionproblushrefills_main.jpg?sw=390&sh=390&sm=fit,High Definition Blush Pro Refills,6.0,$,http://makeup-api.herokuapp.com/api/v1/products/922.json,https://www.nyxcosmetics.com/high-definition-blush-pro-refills/NYX_254.html?cgid=blush,blush,,[],2017-12-24 02:30:42.574,https://www.nyxcosmetics.com,94.03722667114339
Glow,#CC8774,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/000/916/original/open-uri20171224-4-12rfxs8?1514082623,nyx,,2017-12-24 02:28:30.659,USD,A high definition lightweight blush that blends evenly. This vibrant and silky blush delivers a beautiful flush of color and is paraben free.,916,https://www.nyxcosmetics.com/dw/image/v2/AANG_PRD/on/demandware.static/-/Sites-cpd-nyxusa-master-catalog/default/dw565af449/ProductImages/Face/High_Definition_Blush/highdefinitionblush_main.jpg?sw=390&sh=390&sm=fit,High Definition Blush,6.5,$,http://makeup-api.herokuapp.com/api/v1/products/916.json,https://www.nyxcosmetics.com/high-definition-blush/NYX_178.html?cgid=blush,blush,,[],2017-12-24 02:30:23.527,https://www.nyxcosmetics.com,94.03722667114339
553 Cocktail Peach,#E17D70,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/000/684/original/open-uri20171223-4-14490w0?1514062728,dior,,2017-12-03 23:22:32.065,GBP,The iconic blush from the House of Dior: the new colour accessory for face makeup with style.,684,https://www.dior.com/beauty/version-5.1432748111912/resize-image/ep/0/390/100/0/packshots%252FPDG_Y0715255.jpg,Diorblush,32.5,£,http://makeup-api.herokuapp.com/api/v1/products/684.json,https://www.dior.com/beauty/en_gb/fragrance-beauty/makeup/face/blush/pr-blush-y0715255_f071525556-vibrant-colour-powder-blush.html,blush,,[],2017-12-23 20:58:48.374,https://www.dior.com,94.05317644821997
876 Happy Cherry,#EF7B88,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/000/684/original/open-uri20171223-4-14490w0?1514062728,dior,,2017-12-03 23:22:32.065,GBP,The iconic blush from the House of Dior: the new colour accessory for face makeup with style.,684,https://www.dior.com/beauty/version-5.1432748111912/resize-image/ep/0/390/100/0/packshots%252FPDG_Y0715255.jpg,Diorblush,32.5,£,http://makeup-api.herokuapp.com/api/v1/products/684.json,https://www.dior.com/beauty/en_gb/fragrance-beauty/makeup/face/blush/pr-blush-y0715255_f071525556-vibrant-colour-powder-blush.html,blush,,[],2017-12-23 20:58:48.374,https://www.dior.com,94.32921074619463
Raspberry ,#D88798,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/000/418/original/data?1514063321,marcelle,cream,2016-10-01 18:34:23.030,,"
        Marcelle’s Cream Blushes beautifully blend for 
a flawless application. The richly pigmented shades provide a veil of 
colour for a healthy glow.Compact includes a handy sponge applicator.    ",418,"https://d3t32hsnjxo7q6.cloudfront.net/i/8d1dc771f1dbdf2fe5e3cb378c44f1fb_ra,w158,h184_pa,w158,h184.jpeg",Marcelle Cream Blush,14.99,,http://makeup-api.herokuapp.com/api/v1/products/418.json,https://well.ca/products/marcelle-cream-blush_94562.html,blush,5.0,[Canadian],2017-12-23 21:08:41.237,https://well.ca,94.79978902930111
Deep Rose ,#F27988,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/000/439/original/open-uri20171223-4-1max36x?1514063325,maybelline,powder,2016-10-01 18:34:46.302,,"Maybelline Fit Me Blush has lightweight pigments blend easily and wear evenly. It provides a natural, fade-proof cheek color that leaves skin the way it was meant to be...fresh, breathing, and natural.

For Best Results: For soft, natural look, brush along cheekbone, sweeping upward.",439,"https://d3t32hsnjxo7q6.cloudfront.net/i/53d5f825461117c0d96946e1029510b0_ra,w158,h184_pa,w158,h184.png",Maybelline Fit Me Blush,10.29,,http://makeup-api.herokuapp.com/api/v1/products/439.json,https://well.ca/products/maybelline-fit-me-blush_31269.html,blush,4.8,[],2017-12-23 21:08:45.097,https://well.ca,95.8070978581441
HOLLYWOOD & HIGHLIGHT,#f7e2d4,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/000/520/original/data?1514062160,smashbox,,2016-10-02 01:32:53.657,,"Get the ultimate West Coast glow—in a stick! From Santa Monica to Sunset Boulevard, our latest innovation in illumination is inspired by the magic light of L.A. This multipurpose color for lips and cheeks can be increased from a subtle sheen to a full-on flush. The lightweight, creamy formula looks and feels as natural as your own skin.Want a strobing effect? Try Hollywood & Highlight!Apply to face, lips and/or cheeks for a beautifully illuminated veil of natural color. Blend with the included buffing sponge.
              
                Formulated without Parabens, Sodium Lauryl Sulfate, Phthalates, Silicone, Oil, Fragrance & Talc.INGREDIENTS: DIISOSTEARYL MALATE , OCTYLDODECANOL , POLYGLYCERYL-3 DIISOSTEARATE , POLYETHYLENE , MICROCRYSTALLINE WAX\CERA MICROCRISTALLINA\CIRE MICROCRISTALLINE , DICALCIUM PHOSPHATE , TIN OXIDE , PENTAERYTHRITYL TETRA-DI-T-BUTYL HYDROXYHYDROCINNAMATE , [+/- MICA , TITANIUM DIOXIDE (CI 77891) , IRON OXIDES (CI 77491) , IRON OXIDES (CI 77492) , IRON OXIDES (CI 77499) , BISMUTH OXYCHLORIDE (CI 77163) , BLUE 1 LAKE (CI 42090) , CARMINE (CI 75470) , MANGANESE VIOLET (CI 77742) , RED 6 (CI 15850) , RED 7 LAKE (CI 15850) , RED 22 LAKE (CI 45380) , RED 28 LAKE (CI 45410) , RED 30 LAKE (CI 73360) , RED 33 LAKE (CI 17200) , YELLOW 5 LAKE (CI 19140) , YELLOW 6 LAKE (CI 15985)]
                <ILNILN41464>
                  Please be aware that ingredient lists may change or vary from time to time. Please refer to the ingredient list on the product package you receive for the most up to date list of ingredients.
              
            Get the ultimate West Coast glow—in a stick! From Santa Monica to Sunset Boulevard, our latest innovation in illumination is inspired by the magic light of L.A. This multipurpose color for lips and cheeks can be increased from a subtle sheen to a full-on flush. The lightweight, creamy formula looks and feels as natural as your own skin.Want a strobing effect? Try Hollywood & Highlight!Apply to face, lips and/or cheeks for a beautifully illuminated veil of natural color. Blend with the included buffing sponge.
              
                Formulated without Parabens, Sodium Lauryl Sulfate, Phthalates, Silicone, Oil, Fragrance & Talc.INGREDIENTS: DIISOSTEARYL MALATE , OCTYLDODECANOL , POLYGLYCERYL-3 DIISOSTEARATE , POLYETHYLENE , MICROCRYSTALLINE WAX\CERA MICROCRISTALLINA\CIRE MICROCRISTALLINE , DICALCIUM PHOSPHATE , TIN OXIDE , PENTAERYTHRITYL TETRA-DI-T-BUTYL HYDROXYHYDROCINNAMATE , [+/- MICA , TITANIUM DIOXIDE (CI 77891) , IRON OXIDES (CI 77491) , IRON OXIDES (CI 77492) , IRON OXIDES (CI 77499) , BISMUTH OXYCHLORIDE (CI 77163) , BLUE 1 LAKE (CI 42090) , CARMINE (CI 75470) , MANGANESE VIOLET (CI 77742) , RED 6 (CI 15850) , RED 7 LAKE (CI 15850) , RED 22 LAKE (CI 45380) , RED 28 LAKE (CI 45410) , RED 30 LAKE (CI 73360) , RED 33 LAKE (CI 17200) , YELLOW 5 LAKE (CI 19140) , YELLOW 6 LAKE (CI 15985)]
                <ILNILN41464>
                  Please be aware that ingredient lists may change or vary from time to time. Please refer to the ingredient list on the product package you receive for the most up to date list of ingredients.
              
            ",520,https://www.smashbox.com/media/images/products/388x396/sbx_sku_61630_388x396_0.jpg,L.A. Lights Cheek & Lip Color,29.0,,http://makeup-api.herokuapp.com/api/v1/products/520.json,http://www.smashbox.com/product/17652/34879/Lips-Cheek/Blush/LA-Lights-Cheek-Lip-Color/NEW,blush,,[],2017-12-23 20:49:20.286,http://www.smashbox.com/,96.08850087289322
Tender Twig ,#e07b78,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/000/437/original/data?1514063324,pure anada,powder,2016-10-01 18:34:42.997,,"Pure Anada is pleased to bring you a lovely selection of convenient pressed mineral colors!    You’ll love the silky texture and longevity of these highly wearable cheek colors.Mineral pigments and organic Jojoba are pressed together to create a natural makeup product. You can have confidence that you are making a beautiful, healthy choice!Pure Anada pressed colors are designed to be inserted into customizable magnetic compacts like the Pure Ananda Reusable Magnetic Compact. Design your own palette!  Shades:Ingredients: Mica (CI 77019), Iron Oxides (CI 77492, CI 77499) Calcium Carbonate, Caprylic Triglyceride *Simmondsia Chinensis (Jojoba seed oil) Ultramarines (CI 77007), Titanium Dioxide (CI 77891) * Certified Organic IngredientVegan, Gluten Free, Non-GMO, Dairy Free, Peanut Free, Natural",437,"https://d3t32hsnjxo7q6.cloudfront.net/i/43071cd57ecffc55c1e0bff29278c3a7_ra,w158,h184_pa,w158,h184.jpeg",Pure Anada Pressed Mineral Cheek Colour Pan,12.0,,http://makeup-api.herokuapp.com/api/v1/products/437.json,https://well.ca/products/pure-anada-pressed-mineral-cheek_83224.html,blush,4.4,"[Canadian, Non-GMO, Gluten Free, Vegan, Natural]",2017-12-23 21:08:44.981,https://well.ca,96.18211892030659
Taupe,#BC9178,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/000/916/original/open-uri20171224-4-12rfxs8?1514082623,nyx,,2017-12-24 02:28:30.659,USD,A high definition lightweight blush that blends evenly. This vibrant and silky blush delivers a beautiful flush of color and is paraben free.,916,https://www.nyxcosmetics.com/dw/image/v2/AANG_PRD/on/demandware.static/-/Sites-cpd-nyxusa-master-catalog/default/dw565af449/ProductImages/Face/High_Definition_Blush/highdefinitionblush_main.jpg?sw=390&sh=390&sm=fit,High Definition Blush,6.5,$,http://makeup-api.herokuapp.com/api/v1/products/916.json,https://www.nyxcosmetics.com/high-definition-blush/NYX_178.html?cgid=blush,blush,,[],2017-12-24 02:30:23.527,https://www.nyxcosmetics.com,96.22369770487933
Taupe,#BC9178,//s3.amazonaws.com/donovanbailey/products/api_featured_images/000/000/922/original/open-uri20171224-4-1fun686?1514082642,nyx,,2017-12-24 02:28:44.070,USD,,922,https://www.nyxcosmetics.com/dw/image/v2/AANG_PRD/on/demandware.static/-/Sites-cpd-nyxusa-master-catalog/default/dw587b93a7/ProductImages/Face/High_Definition_Pro_Blush_Refills/highdefinitionproblushrefills_main.jpg?sw=390&sh=390&sm=fit,High Definition Blush Pro Refills,6.0,$,http://makeup-api.herokuapp.com/api/v1/products/922.json,https://www.nyxcosmetics.com/high-definition-blush-pro-refills/NYX_254.html?cgid=blush,blush,,[],2017-12-24 02:30:42.574,https://www.nyxcosmetics.com,96.22369770487933
